0,-0.2449952,-0.4038366,0.4597196
0.008333,-0.2450045,-0.4015781,0.4612551
0.016667,-0.2451781,-0.3991136,0.4627702
0.025,-0.2448999,-0.3973651,0.4639525
0.033333,-0.2449657,-0.3953831,0.4651499
0.041667,-0.2449657,-0.3953831,0.4651499
0.05,-0.2449657,-0.3953831,0.4651499
0.058333,-0.2449657,-0.3953831,0.4651499
0.066667,-0.2449657,-0.3953831,0.4651499
0.075,-0.2446335,-0.3854509,0.4714852
0.083333,-0.2447264,-0.3839393,0.4725557
0.091667,-0.2433809,-0.3823203,0.4739393
0.1,-0.2450995,-0.3795934,0.4747833
0.108333,-0.2435185,-0.3789231,0.4755963
0.116667,-0.2438355,-0.3774891,0.4762443
0.125,-0.2438669,-0.3761183,0.4769897
0.133333,-0.2443065,-0.3749807,0.4777614
0.141667,-0.2438316,-0.3738332,0.478312
0.15,-0.2440744,-0.3726697,0.4790428
0.158333,-0.2441665,-0.3713358,0.4799549
0.166667,-0.2445761,-0.3703097,0.4807021
0.175,-0.2446683,-0.3697112,0.4813052
0.183333,-0.2449584,-0.3690964,0.4818539
0.191667,-0.2450788,-0.3685475,0.4824584
0.2,-0.2454389,-0.3677592,0.4830416
0.208333,-0.2458306,-0.3674177,0.4832939
0.216667,-0.2460585,-0.3672323,0.4835551
0.225,-0.2463681,-0.3673241,0.4834752
0.233333,-0.2464601,-0.3672431,0.4835573
0.241667,-0.2467026,-0.3669179,0.4837881
0.25,-0.2470124,-0.3662513,0.484196
0.258333,-0.247097,-0.3659703,0.4844977
0.266667,-0.2472932,-0.3657586,0.4846356
0.275,-0.2476161,-0.365464,0.48479
0.283333,-0.2479563,-0.3653233,0.4847976
0.291667,-0.2480834,-0.3656241,0.4846213
0.3,-0.2485117,-0.3651364,0.4848288
0.308333,-0.2487891,-0.3652909,0.4846275
0.316667,-0.2489586,-0.3652558,0.4846439
0.325,-0.2489783,-0.3651941,0.4846817
0.333333,-0.2492219,-0.3652405,0.4845653
0.341667,-0.2492963,-0.3653148,0.4845381
0.35,-0.2493095,-0.3653381,0.4845649
0.358333,-0.2510172,-0.3645928,0.4843845
0.366667,-0.2510236,-0.3646961,0.4843644
0.375,-0.2493796,-0.3657558,0.484374
0.383333,-0.2496811,-0.3659681,0.4842139
0.391667,-0.2497523,-0.3660578,0.4842198
0.4,-0.250228,-0.3660557,0.4840762
0.408333,-0.2503942,-0.3662013,0.4839557
0.416667,-0.2505306,-0.3661622,0.4839732
0.425,-0.2505693,-0.3662756,0.4839058
0.433333,-0.2507337,-0.3662314,0.483828
0.441667,-0.2523299,-0.3653814,0.4837815
0.45,-0.2507206,-0.3663601,0.4837362
0.458333,-0.2506667,-0.3664446,0.4836534
0.466667,-0.2506257,-0.3664567,0.4835796
0.475,-0.2505789,-0.3664779,0.4835243
0.483333,-0.2502054,-0.3666341,0.4834285
